id,title,description,category,brand,color,size,material,price,rating
214,Laptop Model 214,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Green,14 inch,Plastic,81726,3.9
215,Wireless Headphones Model 215,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Black,Standard,Aluminum,3150,3.9
216,Laptop Model 216,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Black,14 inch,Plastic,62601,4.3
217,Wireless Headphones Model 217,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Green,Standard,Aluminum,9516,3.8
218,Running Shoes Model 218,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Black,10,Leather,4873,4.3
219,Laptop Model 219,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Red,15.6 inch,Leather,88117,3.7
220,Running Shoes Model 220,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Sony,Green,7,Synthetic,6211,4.0
221,Wireless Headphones Model 221,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,White,Standard,Mesh,3283,3.8
222,Running Shoes Model 222,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Blue,6,Aluminum,3298,4.2
223,Laptop Model 223,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,Green,15.6 inch,Leather,50821,3.8
224,Laptop Model 224,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Gray,14 inch,Glass,102237,4.6
225,Laptop Model 225,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Black,15.6 inch,Synthetic,109936,4.2
226,Running Shoes Model 226,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,White,10,Plastic,6387,4.0
227,Running Shoes Model 227,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Black,11,Leather,3083,4.4
228,Laptop Model 228,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Blue,14 inch,Aluminum,95845,4.1
229,Laptop Model 229,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Adidas,White,13 inch,Synthetic,84573,4.5
230,Running Shoes Model 230,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,White,10,Plastic,4211,3.6
231,Running Shoes Model 231,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Green,6,Mesh,6877,4.8
232,Wireless Headphones Model 232,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Red,Standard,Mesh,5903,3.9
233,Laptop Model 233,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Adidas,Green,13 inch,Synthetic,49654,4.4
234,Running Shoes Model 234,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Blue,11,Plastic,3258,4.6
235,Wireless Headphones Model 235,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,White,Standard,Mesh,4939,4.2
236,Wireless Headphones Model 236,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,Green,Standard,Plastic,4519,4.1
237,Running Shoes Model 237,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Red,7,Glass,7411,4.5
238,Laptop Model 238,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,HP,Black,15.6 inch,Leather,115741,3.9
239,Running Shoes Model 239,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,Red,8,Leather,3956,3.7
240,Wireless Headphones Model 240,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,Black,Standard,Leather,7031,4.4
241,Wireless Headphones Model 241,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,White,Standard,Leather,7904,4.2
242,Wireless Headphones Model 242,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,Green,Standard,Mesh,5823,4.0
243,Running Shoes Model 243,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Red,11,Synthetic,2997,3.9
244,Laptop Model 244,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Gray,14 inch,Leather,74231,3.8
245,Laptop Model 245,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Gray,15.6 inch,Plastic,61107,5.0
246,Running Shoes Model 246,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Blue,10,Synthetic,5985,4.1
247,Running Shoes Model 247,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,White,8,Aluminum,2936,4.9
248,Laptop Model 248,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Boat,Red,15.6 inch,Synthetic,31404,4.8
249,Wireless Headphones Model 249,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Green,Standard,Synthetic,14904,3.5
250,Laptop Model 250,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,Black,14 inch,Synthetic,39161,3.8
251,Laptop Model 251,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Blue,13 inch,Synthetic,107095,4.3
252,Running Shoes Model 252,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Green,11,Aluminum,6333,4.4
253,Running Shoes Model 253,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,HP,Red,8,Plastic,2982,4.1
254,Laptop Model 254,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Adidas,White,13 inch,Synthetic,46945,4.6
255,Laptop Model 255,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Gray,15.6 inch,Mesh,108298,4.0
256,Wireless Headphones Model 256,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Black,Standard,Glass,14939,4.6
257,Laptop Model 257,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,Gray,15.6 inch,Mesh,43556,4.8
258,Wireless Headphones Model 258,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Red,Standard,Leather,6380,3.9
259,Wireless Headphones Model 259,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Green,Standard,Plastic,6207,5.0
260,Wireless Headphones Model 260,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Red,Standard,Mesh,2115,3.6
261,Wireless Headphones Model 261,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Green,Standard,Leather,5998,4.4
262,Wireless Headphones Model 262,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Gray,Standard,Plastic,9787,4.5
263,Wireless Headphones Model 263,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Black,Standard,Glass,9171,4.0
264,Running Shoes Model 264,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,White,9,Plastic,7445,3.8
265,Laptop Model 265,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Adidas,Blue,13 inch,Plastic,118685,4.8
266,Wireless Headphones Model 266,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,Black,Standard,Leather,5527,4.6
267,Wireless Headphones Model 267,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Black,Standard,Mesh,11479,4.9
268,Running Shoes Model 268,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Blue,10,Synthetic,3108,3.6
269,Laptop Model 269,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Red,15.6 inch,Synthetic,47798,4.1
270,Running Shoes Model 270,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Blue,9,Aluminum,3972,4.8
271,Running Shoes Model 271,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,Green,8,Synthetic,4286,3.7
272,Laptop Model 272,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Blue,15.6 inch,Leather,78477,4.2
273,Wireless Headphones Model 273,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Red,Standard,Mesh,3998,3.9
274,Laptop Model 274,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Gray,15.6 inch,Glass,58289,4.4
275,Running Shoes Model 275,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Blue,6,Aluminum,6495,4.1
276,Running Shoes Model 276,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Black,6,Leather,3228,3.5
277,Wireless Headphones Model 277,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Gray,Standard,Plastic,13471,4.1
278,Laptop Model 278,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Gray,15.6 inch,Aluminum,91928,4.9
279,Wireless Headphones Model 279,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,Black,Standard,Plastic,8882,4.4
280,Wireless Headphones Model 280,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Black,Standard,Leather,10958,4.2
281,Laptop Model 281,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Boat,Gray,13 inch,Mesh,91370,4.9
282,Laptop Model 282,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Black,13 inch,Aluminum,106430,4.0
283,Running Shoes Model 283,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Red,8,Synthetic,7928,4.7
284,Running Shoes Model 284,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,White,10,Plastic,5725,4.6
285,Running Shoes Model 285,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,HP,Gray,10,Aluminum,3398,3.9
286,Wireless Headphones Model 286,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,Green,Standard,Mesh,3666,4.4
287,Wireless Headphones Model 287,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Green,Standard,Leather,4482,4.2
288,Running Shoes Model 288,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,White,6,Aluminum,6247,3.6
289,Wireless Headphones Model 289,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Red,Standard,Leather,12335,4.9
290,Laptop Model 290,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Black,14 inch,Aluminum,106861,4.1
291,Wireless Headphones Model 291,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Red,Standard,Leather,14915,4.1
292,Wireless Headphones Model 292,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Red,Standard,Leather,11099,4.8
293,Running Shoes Model 293,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,Blue,11,Leather,3579,4.7
294,Running Shoes Model 294,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,White,8,Mesh,4330,3.8
295,Wireless Headphones Model 295,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,White,Standard,Plastic,2884,4.6
296,Running Shoes Model 296,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Blue,8,Glass,7874,5.0
297,Wireless Headphones Model 297,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Green,Standard,Mesh,10861,4.3
298,Running Shoes Model 298,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,HP,Black,9,Glass,4968,5.0
299,Running Shoes Model 299,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Blue,7,Synthetic,7231,3.9
300,Laptop Model 300,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Boat,Gray,14 inch,Aluminum,101343,4.9
301,Laptop Model 301,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Black,13 inch,Aluminum,78907,4.4
302,Wireless Headphones Model 302,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,White,Standard,Aluminum,8550,4.4
303,Wireless Headphones Model 303,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Black,Standard,Plastic,11495,4.4
304,Running Shoes Model 304,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Green,6,Glass,5006,3.8
305,Wireless Headphones Model 305,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Green,Standard,Synthetic,13598,4.3
306,Wireless Headphones Model 306,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,Red,Standard,Glass,12897,4.6
307,Laptop Model 307,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Red,14 inch,Aluminum,70445,4.8
308,Running Shoes Model 308,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Red,11,Glass,7670,3.7
309,Running Shoes Model 309,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Sony,Gray,9,Leather,6486,4.5
310,Laptop Model 310,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Green,15.6 inch,Plastic,63876,4.1
311,Wireless Headphones Model 311,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Red,Standard,Plastic,8012,4.6
312,Running Shoes Model 312,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Blue,6,Mesh,4962,4.7
313,Wireless Headphones Model 313,Noise cancelling wireless headphones with long battery life.,Accessories,HP,White,Standard,Synthetic,12934,3.9
314,Wireless Headphones Model 314,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Green,Standard,Plastic,4430,3.8
315,Wireless Headphones Model 315,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,White,Standard,Leather,13908,3.6
316,Wireless Headphones Model 316,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,Gray,Standard,Mesh,6185,4.8
317,Running Shoes Model 317,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Black,10,Glass,6459,3.6
318,Wireless Headphones Model 318,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Blue,Standard,Aluminum,12144,4.7
319,Running Shoes Model 319,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Sony,Blue,10,Aluminum,7884,4.9
320,Laptop Model 320,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Gray,14 inch,Leather,103093,4.9
321,Running Shoes Model 321,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,HP,Gray,11,Plastic,6479,3.9
322,Running Shoes Model 322,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Black,7,Synthetic,3086,4.3
323,Wireless Headphones Model 323,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Red,Standard,Synthetic,14961,3.7
324,Laptop Model 324,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Red,15.6 inch,Leather,79728,4.7
325,Laptop Model 325,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,White,14 inch,Aluminum,58596,4.5
326,Running Shoes Model 326,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Red,7,Plastic,6349,5.0
327,Laptop Model 327,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,White,14 inch,Plastic,96546,3.6
328,Running Shoes Model 328,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Blue,8,Leather,4938,4.6
329,Wireless Headphones Model 329,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,Blue,Standard,Mesh,7324,4.7
330,Laptop Model 330,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Red,13 inch,Synthetic,40227,4.7
331,Wireless Headphones Model 331,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Green,Standard,Aluminum,2420,4.4
332,Wireless Headphones Model 332,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Gray,Standard,Glass,4929,4.0
333,Wireless Headphones Model 333,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Green,Standard,Synthetic,9783,4.1
334,Running Shoes Model 334,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Black,7,Synthetic,2796,4.3
335,Wireless Headphones Model 335,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Green,Standard,Synthetic,6771,3.8
336,Laptop Model 336,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Red,13 inch,Synthetic,75134,4.0
337,Running Shoes Model 337,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Sony,White,10,Plastic,7262,3.9
338,Laptop Model 338,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Green,15.6 inch,Glass,44936,3.8
339,Wireless Headphones Model 339,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,Black,Standard,Leather,7478,4.5
340,Wireless Headphones Model 340,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,White,Standard,Mesh,7352,4.3
341,Running Shoes Model 341,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Black,10,Aluminum,2675,4.2
342,Laptop Model 342,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,Red,13 inch,Leather,98796,4.1
343,Laptop Model 343,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,Blue,14 inch,Glass,52030,4.8
344,Wireless Headphones Model 344,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Gray,Standard,Synthetic,6625,4.7
345,Wireless Headphones Model 345,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Blue,Standard,Aluminum,14317,4.5
346,Laptop Model 346,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Gray,15.6 inch,Leather,69673,4.3
347,Laptop Model 347,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Boat,Black,15.6 inch,Synthetic,36989,3.8
348,Running Shoes Model 348,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,White,6,Mesh,7050,4.7
349,Running Shoes Model 349,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,Green,9,Leather,7004,4.4
350,Wireless Headphones Model 350,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Red,Standard,Mesh,3079,4.1
351,Laptop Model 351,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,White,14 inch,Aluminum,115223,4.6
352,Running Shoes Model 352,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,White,6,Mesh,5560,4.1
353,Running Shoes Model 353,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,White,8,Mesh,3316,3.9
354,Wireless Headphones Model 354,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Blue,Standard,Aluminum,14803,3.7
355,Running Shoes Model 355,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Green,7,Synthetic,3802,4.5
356,Wireless Headphones Model 356,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,Blue,Standard,Mesh,10516,4.5
357,Wireless Headphones Model 357,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,Red,Standard,Glass,2238,4.2
358,Running Shoes Model 358,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Sony,White,6,Aluminum,6277,4.3
359,Laptop Model 359,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Green,13 inch,Leather,89489,3.8
360,Running Shoes Model 360,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Gray,11,Leather,4681,4.0
361,Laptop Model 361,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Red,14 inch,Mesh,93834,4.4
362,Wireless Headphones Model 362,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Black,Standard,Synthetic,6282,5.0
363,Wireless Headphones Model 363,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Black,Standard,Mesh,10197,4.3
364,Running Shoes Model 364,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,Red,10,Aluminum,4678,4.7
365,Wireless Headphones Model 365,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,Blue,Standard,Synthetic,6763,4.1
366,Laptop Model 366,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,White,14 inch,Glass,109459,4.0
367,Wireless Headphones Model 367,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,White,Standard,Glass,10395,4.7
368,Wireless Headphones Model 368,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,Red,Standard,Glass,8385,4.7
369,Wireless Headphones Model 369,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,Gray,Standard,Glass,7778,4.3
370,Running Shoes Model 370,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Gray,11,Leather,6801,3.6
371,Wireless Headphones Model 371,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,White,Standard,Plastic,8715,3.6
372,Laptop Model 372,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,Blue,14 inch,Aluminum,38958,4.7
373,Running Shoes Model 373,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Green,7,Synthetic,4143,4.8
374,Laptop Model 374,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Gray,15.6 inch,Aluminum,106006,4.5
375,Laptop Model 375,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Boat,Blue,13 inch,Synthetic,52708,3.9
376,Wireless Headphones Model 376,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,White,Standard,Glass,7370,5.0
377,Wireless Headphones Model 377,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Black,Standard,Aluminum,11542,3.8
378,Wireless Headphones Model 378,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Gray,Standard,Aluminum,3727,4.3
379,Wireless Headphones Model 379,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Red,Standard,Leather,3571,3.7
380,Laptop Model 380,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,White,15.6 inch,Aluminum,73972,4.7
381,Laptop Model 381,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Gray,15.6 inch,Synthetic,87074,5.0
382,Running Shoes Model 382,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Black,9,Plastic,7051,3.9
383,Running Shoes Model 383,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,White,11,Glass,5561,4.7
384,Running Shoes Model 384,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Green,7,Mesh,5666,4.2
385,Laptop Model 385,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Red,14 inch,Glass,80143,4.2
386,Running Shoes Model 386,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,Black,8,Plastic,7625,3.9
387,Wireless Headphones Model 387,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,White,Standard,Mesh,10976,3.7
388,Running Shoes Model 388,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Blue,11,Aluminum,4807,3.7
389,Laptop Model 389,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Red,15.6 inch,Plastic,47089,3.7
390,Laptop Model 390,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Boat,Red,13 inch,Synthetic,66882,4.3
391,Laptop Model 391,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Green,14 inch,Mesh,83381,4.8
392,Wireless Headphones Model 392,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Green,Standard,Plastic,4571,4.6
393,Running Shoes Model 393,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Blue,7,Mesh,6881,3.9
394,Laptop Model 394,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,White,14 inch,Mesh,65070,4.0
395,Running Shoes Model 395,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Sony,White,7,Synthetic,6407,4.5
396,Laptop Model 396,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Red,14 inch,Leather,59322,4.7
397,Wireless Headphones Model 397,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Blue,Standard,Plastic,9705,4.3
398,Laptop Model 398,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Red,13 inch,Mesh,45099,3.7
399,Laptop Model 399,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Blue,15.6 inch,Leather,71602,3.6
400,Running Shoes Model 400,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Gray,11,Plastic,2787,3.8
401,Laptop Model 401,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Gray,13 inch,Glass,46284,3.9
402,Wireless Headphones Model 402,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Gray,Standard,Leather,14956,4.6
403,Laptop Model 403,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,White,13 inch,Aluminum,86677,4.3
404,Wireless Headphones Model 404,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Green,Standard,Aluminum,13064,4.0
405,Wireless Headphones Model 405,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,Red,Standard,Leather,10625,3.8
406,Laptop Model 406,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Black,14 inch,Leather,116155,3.7
407,Running Shoes Model 407,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Black,6,Plastic,6353,4.3
408,Running Shoes Model 408,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Gray,11,Leather,6188,4.0
409,Running Shoes Model 409,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Blue,7,Synthetic,5292,3.6
410,Laptop Model 410,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Blue,13 inch,Synthetic,43726,3.5
411,Wireless Headphones Model 411,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Black,Standard,Synthetic,12544,4.1
412,Wireless Headphones Model 412,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Green,Standard,Plastic,3324,4.0
413,Laptop Model 413,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,White,14 inch,Plastic,37430,4.5
414,Laptop Model 414,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,White,15.6 inch,Synthetic,87172,4.0
415,Running Shoes Model 415,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,Black,9,Leather,4303,4.4
416,Running Shoes Model 416,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Blue,10,Mesh,5747,4.1
417,Wireless Headphones Model 417,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Red,Standard,Leather,9949,4.6
418,Wireless Headphones Model 418,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,Blue,Standard,Plastic,11135,4.8
419,Wireless Headphones Model 419,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Red,Standard,Aluminum,2633,4.0
420,Laptop Model 420,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Gray,15.6 inch,Synthetic,100525,4.7
421,Running Shoes Model 421,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,Blue,6,Leather,6197,3.6
422,Running Shoes Model 422,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Red,8,Aluminum,3485,4.9
423,Laptop Model 423,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Boat,Red,13 inch,Synthetic,113068,4.7
424,Running Shoes Model 424,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,White,11,Aluminum,3154,3.7
425,Wireless Headphones Model 425,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,Gray,Standard,Leather,14530,4.2
426,Running Shoes Model 426,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,Gray,7,Aluminum,7837,3.9
427,Running Shoes Model 427,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,Gray,8,Leather,5787,4.6
